1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	1
1	3431
1,10	36
1,10,15,16,27	3
1,10,15,16,27,28	1
1,10,15,27	1
1,10,16,19,27	1
1,10,16,26,27	3
1,10,16,27	230
1,10,16,27,28	19
1,10,22,26,27	1
1,10,25	27
1,10,25,26	22
1,10,25,27	1
1,10,26	18
1,10,26,27	378
1,10,26,27,28	36
1,10,27	60
1,10,27,28	5
1,10,28	1
1,11	578
1,11,12,19	13
1,11,12,19,27	14
1,11,12,27	4
1,11,15,19,26	6
1,11,16,19,25	3
1,11,16,19,25,27	2
1,11,16,25	12
1,11,16,25,27	3
1,11,16,27	3
1,11,19	8414
1,11,19,25	6634
1,11,19,25,26	30
1,11,19,25,26,27	6
1,11,19,25,27	42
1,11,19,26	635
1,11,19,26,27,30	1
1,11,19,27	15
1,11,19,27,30	4
1,11,25	811
1,11,25,26	16
1,11,25,26,27	2
1,11,25,27	9
1,11,26	4
1,11,27	70
1,12	5
1,12,19	89
1,12,19,27	11
1,12,26	1
1,12,27	1
1,13	1
1,13,15	1
1,13,15,27	1
1,13,19,27	1
1,13,27	3
1,13,27,28	1
1,14,21,27	1
1,14,26,27	1
1,15	19
1,15,16,17,27	1
1,15,16,22,27	10
1,15,16,27	255
1,15,16,27,28	22
1,15,17,19,26	1
1,15,17,27	1
1,15,19	46
1,15,19,25	4
1,15,19,25,26	11
1,15,19,26	498
1,15,19,27	1
1,15,22,27	1
1,15,26	2
1,15,26,27	1
1,15,27	175
1,15,27,28	25
1,15,28	2
1,16	5659
1,16,17,25,26,27,28	1
1,16,17,27	4
1,16,19	7181
1,16,19,25	50
1,16,19,25,26	5
1,16,19,25,26,27	13
1,16,19,25,27	23
1,16,19,27	62
1,16,19,27,28	1
1,16,22,27	423
1,16,22,27,28	22
1,16,25	8223
1,16,25,26	597
1,16,25,26,27	1008
1,16,25,27	6547
1,16,25,27,28	1
1,16,26	2
1,16,26,27	70
1,16,27	60252
1,16,27,28	522
1,16,28	1
1,17	1
1,17,19	1
1,17,27	2
1,19	1189733
1,19,25	38993
1,19,25,26	539
1,19,25,26,27	171
1,19,25,27	221
1,19,26	25355
1,19,26,27	11
1,19,27	220
1,19,27,28	2
1,2	30
1,2,10,15,16,27	12
1,2,10,15,27	4
1,2,10,15,27,28	1
1,2,10,16,27	49
1,2,10,16,27,28	9
1,2,10,27	3
1,2,11,12,14,19,27	1
1,2,11,12,19	1
1,2,11,12,19,27	16
1,2,11,12,19,27,29	1
1,2,11,12,27	1
1,2,11,12,27,28	1
1,2,11,15,27	1
1,2,11,19	1
1,2,11,19,26,27	5
1,2,11,19,27	46
1,2,11,19,27,30	19
1,2,11,27	15
1,2,12,19	2
1,2,12,19,26,27	1
1,2,12,19,27	2
1,2,12,27	3
1,2,13,15,27,28	1
1,2,13,27	4
1,2,15	2
1,2,15,16,22,27	10
1,2,15,16,22,27,28	6
1,2,15,16,26,27	1
1,2,15,16,27	70
1,2,15,16,27,28	11
1,2,15,19,26	2
1,2,15,22,27	1
1,2,15,22,27,28	1
1,2,15,26,27	3
1,2,15,27	78
1,2,15,27,28	15
1,2,16,19,27	1
1,2,16,22,26,27	1
1,2,16,22,27	156
1,2,16,22,27,28	19
1,2,16,25,27	3
1,2,16,26,27	3
1,2,16,27	701
1,2,16,27,28	53
1,2,19	12
1,2,19,25	1
1,2,19,26,27	2
1,2,19,27	139
1,2,19,27,29	1
1,2,19,27,30	3
1,2,21,27	1
1,2,22,27	8
1,2,25	5
1,2,25,26	7
1,2,25,27	2
1,2,26	2
1,2,26,27	2
1,2,27	357
1,2,27,28	31
1,2,27,30	1
1,2,28	1
1,2,3,10,15,27	1
1,2,3,15,27	1
1,2,3,27	2
1,2,3,27,28	1
1,2,3,8,9,12,15,21,22,27,29,30	1
1,2,3,9,15,19,21,22,26,27,29,30	1
1,2,4,11,12,19,26,27	4
1,2,4,11,12,27	1
1,2,4,11,15,19,25,26,27	1
1,2,4,11,15,19,25,27	1
1,2,4,11,15,27	1
1,2,4,11,17,19,27,30	1
