12	4154
1,2,4,8,12,15,16,22	1
1,2,3,4,7,12,15,16,28	1
2,3,4,7,12,15,16,28	8
2,4,7,12,15,16,28	4
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	2
1,2,3,4,5,7,12,15,16	2
1,2,3,4,7,12,15,16	1029
1,2,3,4,7,12,13,15,16	2
2,3,4,7,12,15,16	6422
1,3,4,7,12,16	2
1,2,3,4,7,12,15	3
2,3,4,7,12,15	9
1,2,3,7,12,15,16	301
1,2,3,7,12,15,16,19	1
1,2,3,7,12,13,15,16	2
2,3,7,12,15,16	1537
1,3,7,12,16	1
1,2,3,7,12,15	1
2,3,7,12,15	6
1,2,4,7,12,15,16	510
1,2,4,7,12,15,16,19	1
1,2,4,7,12,13,15,16	3
2,4,7,12,15,16	1834
1,2,4,7,12,15	3
2,4,7,12,15	12
1,2,7,12,15,16	277
2,7,12,15,16	837
1,2,7,12,15	1
2,7,12,15	4
3,4,12,15,16,28	19
1,2,3,4,12,15,16,28	1
2,3,4,12,15,16,28	4
3,12,15,16,28	9
4,12,15,16,28	22
2,4,12,15,16,28	5
12,15,16,28	31
2,12,15,16,28	7
3,12	563
3,4,12,16,27,30	23
1,2,3,4,12,16,27,30	2
2,3,4,12,16,27,30	8
3,12,16,27,30	3
1,3,12,16,27,30	1
1,2,3,12,15,16,27	1
3,4,12,16,30	423
1,3,4,12,16,30	2
1,2,3,4,12,16,30	1
2,3,4,12,16,30	18
3,12,16,30	45
1,3,12,16,30	1
1,2,3,5,12,15,16	2
3,4,12,16	16
3,4,12,15,16	61481
1,2,3,4,12,15,16	394
2,3,4,12,15,16	1713
1,3,4,12,16	23
3,4,12,15	575
2,3,4,12,15	11
3,12,16	4
3,12,15,16	74097
1,2,3,12,15,16	513
2,3,12,15,16	1893
1,3,12,16	1
3,12,15	1110
1,2,3,12,15	1
2,3,12,15	22
1,2,4,12,16,27,30	1
4,12,16,30	780
1,2,4,12,16,30	1
2,4,12,16,30	3
12,16,30	210
1,2,4,5,12,15,16	1
1,2,5,12,15,16	4
4,12,16	5490
4,12,15,16	123878
1,2,4,12,15,16	291
2,4,12,15,16	920
4,12,15	733
1,2,4,12,15	1
2,4,12,15	5
1,2,4,5,6,7,8,12,15,16,19,22	1
1,2,4,6,8,12,16,30	1
1,3,4,5,6,12,16,27	1
1,3,4,5,6,12,16	1
1,2,4,6,12,16,30	1
1,2,3,4,6,7,8,9,12,14,15,16,17,22	1
1,2,3,4,5,6,7,8,12,14,15,16,17,22	1
1,2,3,4,6,7,12,14,15,16,17	1
1,2,3,4,6,7,8,12,14,15,16,17,23	1
1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,20,22,23,26,28	3
1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,20,23,26,28	1
1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,23,26,28	1
1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,19,23,26,28	1
1,2,3,4,6,7,8,9,10,12,14,15,16,17,22,23,26,28	1
1,2,3,4,6,7,8,9,10,12,14,15,16,17,19,23,26,28	1
1,2,3,4,6,7,8,9,10,12,14,15,16,17,19,23,25,26,28	1
1,2,3,4,5,6,7,8,10,12,14,15,16,17,23,26,28	3
1,2,3,4,5,6,7,8,10,12,14,15,16,17,19,23,26,28	2
1,2,4,5,6,7,8,9,10,12,14,15,16,17,20,23,26,28	1
1,2,4,5,6,7,8,9,10,12,14,15,16,17,23,26,28	2
1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,23,26	2
1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,19,23,25,26	1
1,2,3,4,6,7,8,9,10,12,14,15,16,17,19,22,23,25,26	1
1,2,3,4,6,7,8,9,10,12,14,15,16,17,23,26	2
1,2,3,4,6,7,8,9,10,12,14,15,16,17,19,23,26	1
1,2,3,4,5,6,7,8,10,12,14,15,16,17,22,23,26	1
1,2,3,4,5,6,7,8,10,12,14,15,16,17,23,26	3
1,2,3,4,6,7,8,10,12,14,15,16,17,23,26	2
1,2,4,5,6,7,8,9,10,12,14,15,16,17,20,22,23,26	1
1,2,4,5,6,7,8,9,10,12,14,15,16,17,19,23,25,26	1
1,2,4,6,7,8,9,10,12,14,15,16,17,20,22,23,26	1
1,2,4,6,7,8,9,10,12,14,15,16,17,23,26	1
1,2,3,4,5,6,7,9,10,12,14,15,16,17,19,20,23,26,28	1
1,2,3,4,5,6,7,9,10,12,14,15,16,17,23,26,28	3
1,2,3,4,5,6,7,9,10,12,14,15,16,17,19,23,26,28	3
1,2,3,4,5,6,7,9,10,12,14,15,16,17,19,23,25,26,28	2
1,2,3,4,5,6,7,9,10,12,14,15,16,17,23,25,26,28	1
1,2,3,4,6,7,9,10,12,14,15,16,17,19,23,26,28	1
1,2,3,4,5,6,7,10,12,14,15,16,17,23,26,28	3
1,2,3,4,5,6,7,10,12,14,15,16,17,19,23,26,28	2
1,2,3,4,6,7,10,12,14,15,16,17,23,26,28	1
1,2,3,4,6,7,10,12,14,15,16,17,19,23,26,28	1
1,2,4,5,6,7,9,10,12,14,15,16,17,19,23,26,28	2
1,2,4,6,7,9,10,12,14,15,16,17,23,26,28	1
1,2,4,6,7,10,12,14,15,16,17,23,26,28	1
1,2,3,4,5,6,7,9,10,12,14,15,16,17,19,20,23,26	1
1,2,3,4,5,6,7,9,10,12,14,15,16,17,23,26	4
1,2,3,4,5,6,7,9,10,12,14,15,16,17,19,23,26	2
1,2,3,4,5,6,7,9,10,12,14,15,16,17,23,25,26	1
1,2,3,4,6,7,9,10,12,14,15,16,17,19,23,25,26	1
1,2,3,4,6,7,9,10,12,14,15,16,17,23,25,26	1
1,2,3,4,5,6,7,10,12,14,15,16,17,23,26	5
1,2,3,4,5,6,7,10,12,14,15,16,17,19,23,26	1
1,2,3,4,5,6,7,10,12,14,15,16,17,19,23,25,26	1
1,2,3,4,6,7,10,12,14,15,16,17,23,26	5
1,2,3,4,6,7,10,12,14,15,16,17,19,23,26	1
1,2,4,5,6,7,9,10,12,14,15,16,17,23,26	1
1,2,4,5,6,7,10,12,14,15,16,17,23,26	2
1,2,4,5,6,7,10,12,14,15,16,17,19,23,26	1
1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,20,22,23,28	1
1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,22,23,28	1
1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,23,28	2
1,2,3,4,6,7,8,9,10,12,14,15,16,17,20,23,28	1
1,2,3,4,6,7,8,9,10,12,14,15,16,17,23,28	1
1,2,3,4,6,7,8,9,10,12,14,15,16,17,19,23,28	1
1,2,3,4,5,6,7,8,10,12,14,15,16,17,23,28	5
1,2,3,4,5,6,7,8,10,12,14,15,16,17,23,25,28	1
1,2,3,4,6,7,8,10,12,14,15,16,17,23,28	3
1,2,3,4,6,7,8,10,12,14,15,16,17,19,23,28	1
1,2,4,5,6,7,8,9,10,12,14,15,16,17,20,22,23,25,28	1
1,2,4,5,6,7,8,9,10,12,14,15,16,17,23,28	1
1,2,4,5,6,7,8,9,10,12,14,15,16,17,23,25,28	1
1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,20,22,23	6
