8	4154
6,8,10,12,13,16,17,22	1
8,9,10,12,13,16,17,19,28	1
8,9,10,12,13,16,19,28	8
8,10,12,13,16,19,28	4
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	2
8,9,10,11,12,13,16,17,19	2
8,9,10,12,13,16,17,19	1029
7,8,9,10,12,13,16,17,19	2
8,9,10,12,13,16,19	6422
8,9,10,12,17,19	2
8,9,12,13,16,17,19	3
8,9,12,13,16,19	9
8,9,10,13,16,17,19	301
2,8,9,10,13,16,17,19	1
7,8,9,10,13,16,17,19	2
8,9,10,13,16,19	1537
8,9,10,17,19	1
8,9,13,16,17,19	1
8,9,13,16,19	6
8,10,12,13,16,17,19	510
2,8,10,12,13,16,17,19	1
7,8,10,12,13,16,17,19	3
8,10,12,13,16,19	1834
8,12,13,16,17,19	3
8,12,13,16,19	12
8,10,13,16,17,19	277
8,10,13,16,19	837
8,13,16,17,19	1
8,13,16,19	4
8,9,10,12,13,28	19
8,9,10,12,13,16,17,28	1
8,9,10,12,13,16,28	4
8,9,10,13,28	9
8,10,12,13,28	22
8,10,12,13,16,28	5
8,10,13,28	31
8,10,13,16,28	7
8,9	563
8,9,10,12,27,30	23
8,9,10,12,16,17,27,30	2
8,9,10,12,16,27,30	8
8,9,10,27,30	3
8,9,10,17,27,30	1
8,9,10,13,16,17,27	1
8,9,10,12,30	423
8,9,10,12,17,30	2
8,9,10,12,16,17,30	1
8,9,10,12,16,30	18
8,9,10,30	45
8,9,10,17,30	1
8,9,10,11,13,16,17	2
8,9,10,12	16
8,9,10,12,13	61481
8,9,10,12,13,16,17	394
8,9,10,12,13,16	1713
8,9,10,12,17	23
8,9,12,13	575
8,9,12,13,16	11
8,9,10	4
8,9,10,13	74097
8,9,10,13,16,17	513
8,9,10,13,16	1893
8,9,10,17	1
8,9,13	1110
8,9,13,16,17	1
8,9,13,16	22
8,10,12,16,17,27,30	1
8,10,12,30	780
8,10,12,16,17,30	1
8,10,12,16,30	3
8,10,30	210
8,10,11,12,13,16,17	1
8,10,11,13,16,17	4
8,10,12	5490
8,10,12,13	123878
8,10,12,13,16,17	291
8,10,12,13,16	920
8,12,13	733
8,12,13,16,17	1
8,12,13,16	5
2,6,8,10,11,12,13,16,17,19,20,22	1
6,8,10,12,16,17,20,30	1
8,9,10,11,12,17,20,27	1
8,9,10,11,12,17,20	1
8,10,12,16,17,20,30	1
4,5,6,8,9,10,12,13,14,16,17,19,20,22	1
4,6,8,9,10,11,12,13,14,16,17,19,20,22	1
4,8,9,10,12,13,14,16,17,19,20	1
4,6,8,9,10,12,13,14,16,17,19,20,23	1
1,4,5,6,8,9,10,11,12,13,14,15,16,17,19,20,22,23,26,28	3
1,4,5,6,8,9,10,11,12,13,14,15,16,17,19,20,23,26,28	1
4,5,6,8,9,10,11,12,13,14,15,16,17,19,20,23,26,28	1
2,4,5,6,8,9,10,11,12,13,14,15,16,17,19,20,23,26,28	1
4,5,6,8,9,10,12,13,14,15,16,17,19,20,22,23,26,28	1
2,4,5,6,8,9,10,12,13,14,15,16,17,19,20,23,26,28	1
2,4,5,6,8,9,10,12,13,14,15,16,17,19,20,23,25,26,28	1
4,6,8,9,10,11,12,13,14,15,16,17,19,20,23,26,28	3
2,4,6,8,9,10,11,12,13,14,15,16,17,19,20,23,26,28	2
1,4,5,6,8,10,11,12,13,14,15,16,17,19,20,23,26,28	1
4,5,6,8,10,11,12,13,14,15,16,17,19,20,23,26,28	2
4,5,6,8,9,10,11,12,13,14,15,16,17,19,20,23,26	2
2,4,5,6,8,9,10,11,12,13,14,15,16,17,19,20,23,25,26	1
2,4,5,6,8,9,10,12,13,14,15,16,17,19,20,22,23,25,26	1
4,5,6,8,9,10,12,13,14,15,16,17,19,20,23,26	2
2,4,5,6,8,9,10,12,13,14,15,16,17,19,20,23,26	1
4,6,8,9,10,11,12,13,14,15,16,17,19,20,22,23,26	1
4,6,8,9,10,11,12,13,14,15,16,17,19,20,23,26	3
4,6,8,9,10,12,13,14,15,16,17,19,20,23,26	2
1,4,5,6,8,10,11,12,13,14,15,16,17,19,20,22,23,26	1
2,4,5,6,8,10,11,12,13,14,15,16,17,19,20,23,25,26	1
1,4,5,6,8,10,12,13,14,15,16,17,19,20,22,23,26	1
4,5,6,8,10,12,13,14,15,16,17,19,20,23,26	1
1,2,4,5,8,9,10,11,12,13,14,15,16,17,19,20,23,26,28	1
4,5,8,9,10,11,12,13,14,15,16,17,19,20,23,26,28	3
2,4,5,8,9,10,11,12,13,14,15,16,17,19,20,23,26,28	3
2,4,5,8,9,10,11,12,13,14,15,16,17,19,20,23,25,26,28	2
4,5,8,9,10,11,12,13,14,15,16,17,19,20,23,25,26,28	1
2,4,5,8,9,10,12,13,14,15,16,17,19,20,23,26,28	1
